"aspect ratio","audience score","box office (gross usa)","cast","director","distributor","genre","original language","producer","production co","rating","release date (dvd)","release date (streaming)","release date (theaters)","rerelease date (theaters)","runtime","sound mix","synopsis","title","tomatometer","url","view the collection","writer"
,"46","$198.4K","Andy Lau, Ka Tung Lam, Eddie Peng","Jason Kwan","Well Go USA Entertainment","Action, Crime, Drama","Chinese","Yaping Li","Shanghai Benxiaohai Film & Culture, Alibaba Pictures Group, Infinitus Entertainment, Focus Films, Universe Entertainment",,,,"Jan 12 2024, limited",,"1h 55m",,"As the secretive, complex world of online drug trafficking increasingly targets Hong Kong, the police launch a risky, top-secret sting operation to bring down one of the most notorious drug lords in Asia.","I Did It My Way","25","https://www.rottentomatoes.com/m/i_did_it_my_way",,"Sing-Yip Sau"
"Scope (2.35:1)","92","$434.6K","Sakura Andô, Eita Nagayama, Soya Kurokawa","Hirokazu Koreeda","Well Go USA Entertainment","Drama, Mystery & thriller","Japanese","Genki Kawamura, Kenji Yamada","Toho Company","PG-13 (Thematic Material|Brief Suggestive Material)","Apr 9 2024",,"Nov 22 2023, limited",,"2h 6m","Dolby Digital","When her young son Minato starts to behave strangely, his mother feels that there is something wrong. Discovering that a teacher is responsible, she storms into the school demanding to know what's going on. But as the story unfolds through the eyes of mother, teacher and child, the truth gradually emerges.","Monster","96","https://www.rottentomatoes.com/m/monster_2023",,"Yuji Sakamoto"
"Scope (2.35:1)","95","$96.2K","Nadia Tereszkiewicz, Rebecca Marder, Isabelle Huppert","François Ozon","Music Box Films","Comedy, Drama, Crime","French","Éric Altmayer, Nicolas Altmayer","Scope Pictures, France 2 Cinéma, Mandarin Cinéma, Gaumont, FOZ, Playtime",,,"Feb 13 2024","Dec 25 2023, limited",,"1h 42m",,"In 1930s Paris, Madeleine, a pretty, young, penniless and talentless actress, is accused of murdering a famous producer. Helped by her best friend Pauline, a young unemployed lawyer, she is acquitted on the grounds of self-defense. A new life of fame and success begins, until the truth comes out.","The Crime Is Mine","98","https://www.rottentomatoes.com/m/the_crime_is_mine",,"François Ozon"
,"","$13.6K","Pasang Lhamu Sherpa, Nancy Svendsen, Nancy Svendsen","Nancy Svendsen","Slice of Pie Productions","Documentary, Biography","English","Nancy Svendsen, Sharon Wood, Christy McGill, Richard Levien","Follow Your Dream Foundation, Mila Productions",,,,"Jan 19 2024, limited",,"1h 12m",,"PASANG: In the Shadow of Everest chronicles Pasang Lhamu Sherpa's tragic and inspiring journey to become the first Nepali woman to summit Everest in 1993. As an uneducated, indigenous woman and a Buddhist in a Hindu kingdom, Pasang's dream to scale the legendary mountain pits her against family, foreign climbers, her own government, and nature itself. Her determined pursuit of Everest plays out within the context of her nation's quest for democracy and the emergence of the commercial climbing industry. As told by the Nepalis who knew her, by some of the world's most notable alpinists, and by Pasang herself, PASANG: The Shadow of Everest, documents her historic quest that would transfix her country and uplift a new generation's belief in its possibilities.","Pasang: In the Shadow of Everest","86","https://www.rottentomatoes.com/m/pasang_in_the_shadow_of_everest",,"Sharon Wood, Sari Gilman, Adam Keker"
,"","$7.8K","Jonas Dassler, Mala Emde, Dimitrij Schaad","Alex Schaad","Kino Lorber","Drama, Fantasy, Romance","German","Tobias Walker, Philipp Worm","Walker Worm Film, Donndorffilm",,,"Apr 2 2024","Feb 2 2024, limited",,"1h 43m",,"Seeking a retreat where they can salvage their struggling relationship, young couple Leyla (Mala Emde) and Tristan (Jonas Dassler) travel to a remote island at the invitation of Leyla's childhood friend Stella, where it soon becomes clear that what the island offers is more mysterious than a simple vacation. Leyla and Tristan join another couple in a ritual to exchange bodies and see the world through the eyes of someone else -- a chance to find themselves or, for some of them, a chance at escape. Free from the constraints of her former body, Leyla quickly finds she has never been happier, with a fresh outlook on life and a new sense of release and fulfillment. But when she refuses to return to her old self, the situation threatens to spiral out of control. Subverting genre and gender as it toggles from body swap thriller to intimate relationship drama, Skin Deep tells a story that transcends bodies, embracing the endless fluid possibilities in the question of what it means to truly love someone.","Skin Deep","100","https://www.rottentomatoes.com/m/skin_deep_2022",,"Alex Schaad, Dimitrij Schaad"
,"81","$122.3M","Jason Momoa, Patrick Wilson, Yahya Abdul-Mateen II","James Wan","Warner Bros. Pictures","Action, Adventure, Fantasy","English","Peter Safran, James Wan, Rob Cowan","Atomic Monster, Peter Safran","PG-13 (Some Language|Sci-Fi Violence)",,"Jan 23 2024","Dec 22 2023, wide",,"2h 4m","Dolby Atmos Dolby Digital, DTS","After failing to defeat Aquaman the first time, Black Manta wields the power of the mythic Black Trident to unleash an ancient and malevolent force. Hoping to end his reign of terror, Aquaman forges an unlikely alliance with his brother, Orm, the former king of Atlantis. Setting aside their differences, they join forces to protect their kingdom and save the world from irreversible destruction.","Aquaman and the Lost Kingdom","34","https://www.rottentomatoes.com/m/aquaman_and_the_lost_kingdom","DC Universe","David Leslie Johnson-McGoldrick"
,"51","$979.8K","Safia Oakley-Green, Kit Young, Chuku Modu","Andrew Cumming","Bleecker Street","Horror, Mystery & thriller","Unknown language","Oliver Kassman","Creative Scotland, Escape Plan Productions, BFI Film Fund","R (Some Grisly Images|Violence)",,,"Feb 9 2024, limited",,"1h 27m",,"A small boat reaches the shores of a raw and desolate landscape. A group of six have struggled across the narrow sea to find a new home. They are starving, desperate, and living 45,000 years ago. First they must find shelter, and they strike out across the tundra wastes towards the distant mountains that promise the abundant caves they need to survive. But when night falls, anticipation turns to fear and doubt as they realize they are not alone.","Out of Darkness","83","https://www.rottentomatoes.com/m/out_of_darkness_2022",,"Ruth Greenberg"
"Digital 2.39:1","43","$30.0M","Wyatt Russell, Kerry Condon, Amélie Hoeferle","Bryce McGuire","Universal Pictures","Horror, Mystery & thriller","English","James Wan, Jason Blum","Atomic Monster, Blumhouse Productions","PG-13 (Terror|Some Violent Content|Language)",,"Jan 23 2024","Jan 5 2024, wide",,"1h 38m","Dolby Digital","Based on the acclaimed 2014 short film by Rod Blackhurst and Bryce McGuire, the film stars Wyatt Russell (The Falcon and the Winter Soldier) as Ray Waller, a former major league baseball player forced into early retirement by a degenerative illness, who moves into a new home with his concerned wife Eve (Oscar® nominee Kerry Condon, The Banshees of Inisherin), teenage daughter Izzy (Amélie Hoeferle, this fall's The Hunger Games: The Ballad of Songbirds and Snakes) and young son Elliot (Gavin Warren, Fear the Walking Dead). Secretly hoping, against the odds, to return to pro ball, Ray persuades Eve that the new home's shimmering backyard swimming pool will be fun for the kids and provide physical therapy for him. But a dark secret in the home's past will unleash a malevolent force that will drag the family under, into the depths of inescapable terror.","Night Swim","22","https://www.rottentomatoes.com/m/night_swim",,"Bryce McGuire"
"Digital 2.39:1","97","$50.9M","Joel Edgerton, Chris Diamantopoulos, Callum Turner","George Clooney","MGM","History, Drama, Biography, Sports","English","Grant Heslov, George Clooney","Spyglass Media Group, Smokehouse Pictures, Metro-Goldwyn-Mayer","PG-13 (Language and Smoking)",,"Jan 16 2024","Dec 25 2023, wide",,"2h 4m","Dolby Digital","The Boys in the Boat is a sports drama based on the #1 New York Times bestselling non-fiction novel written by Daniel James Brown. The film, directed by George Clooney, is about the 1936 University of Washington rowing team that competed for gold at the Summer Olympics in Berlin. This inspirational true story follows a group of underdogs at the height of the Great Depression as they are thrust into the spotlight and take on elite rivals from around the world.","The Boys in the Boat","58","https://www.rottentomatoes.com/m/the_boys_in_the_boat",,"Mark L. Smith"
,"77","$5.9M","Christian Friedel, Sandra Hüller, Medusa Knopf","Jonathan Glazer","A24","History, Drama, War","German","James Wilson, Ewa Puszczynska, Jim Wilson","A24, Access Entertainment, Film4, JW Films, Extreme Emotions","PG-13 (Some Suggestive Material|Smoking|Thematic Material)",,,"Dec 15 2023, limited",,"1h 46m","Dolby Digital","The commandant of Auschwitz, Rudolf Höss, and his wife Hedwig, strive to build a dream life for their family in a house and garden next to the camp.","The Zone of Interest","93","https://www.rottentomatoes.com/m/the_zone_of_interest",,"Jonathan Glazer"
