"aspect ratio","audience score","box office (gross usa)","cast","director","distributor","genre","original language","producer","production co","rating","release date (dvd)","release date (streaming)","release date (theaters)","rerelease date (theaters)","runtime","sound mix","synopsis","title","tomatometer","url","view the collection","writer"
,"81","$63.7M","Chris Pine, Ariana DeBose, Alan Tudyk","Chris Buck, Fawn Veerasunthorn","Walt Disney Pictures","Kids & family, Fantasy, Adventure, Comedy, Animation, Musical","English","Peter Del Vecho, Juan Pablo Reyes Lancaster-Jones","Walt Disney Animation Studios","PG (Thematic Elements|Mild Action)",,"Jan 23 2024","Nov 22 2023, wide",,"1h 32m","Dolby Atmos Dolby Digital, DTS","Walt Disney Animation Studios' ""Wish"" is an all-new musical-comedy welcoming audiences to the magical kingdom of Rosas, where Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force--a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe--the ruler of Rosas, King Magnifico--to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.","Wish","48","https://www.rottentomatoes.com/m/wish_2023",,"Jennifer Lee, Allison Moore, Chris Buck"
"Academy (1.33:1)","93","$184.8K","Kôji Yakusho, Tokio Emoto, Arisa Nakano","Wim Wenders","NEON","Drama","Japanese","Koji Yanai, Wim Wenders, Takuma Takasaki, Yusuke Kobayashi, Reiko Kunieda, Keiko Tominaga","Master Mind Productions Inc.","PG (Some Language|Smoking|Partial Nudity)",,,"Nov 10 2023, limited",,"2h 3m","Dolby Digital","Hirayama seems utterly content with his simple life as a cleaner of toilets in Tokyo. Outside of his very structured everyday routine he enjoys his passion for music and for books. And he loves trees and takes photos of them. A series of unexpected encounters gradually reveal more of his past. A deeply moving and poetic reflection on finding beauty in the everyday world around us.","Perfect Days","95","https://www.rottentomatoes.com/m/perfect_days_2023",,"Takuma Takasaki, Wim Wenders"
,"95","$217.6K","Mads Mikkelsen, Amanda Collin, Gustav Lindh","Nikolaj Arcel","Magnolia Pictures","History, Drama","Danish","Louise Vesth","Zentropa Entertainment","R (Some Sexuality|Bloody Violence|Language|Brief Nudity)",,,"Feb 2 2024, limited",,"2h 7m","Dolby Digital","In 18th century Denmark, Captain Ludvig Kahlen (Mads Mikkelsen) -- a proud, ambitious, but impoverished war hero -- sets out to tame a vast, uninhabitable land on which seemingly nothing can grow. He seeks to start farming crops, build a colony in the name of the King, and gain a noble title for himself. This beautiful but forbidding area also happens to be under the rule of the merciless Frederik De Schinkel, a preening nobleman who realizes the threat Kahlen represents to his power. Struggling against the elements and local brigands, Kahlen is joined by a couple who have fled the clutches of the rapacious De Schinkel. As this group of misfits begins to build a small community in this inhospitable place, De Schinkel swears vengeance, and the confrontation between him and Kahlen promises to be as violent and intense as these two men.","The Promised Land","96","https://www.rottentomatoes.com/m/the_promised_land_2023",,"Anders Thomas Jensen, Nikolaj Arcel"
,"81","$3.7M","Kathryn Newton, Cole Sprouse, Carla Gugino","Zelda Williams","Focus Features","Horror, Romance, Comedy","English","Mason Novick, Diablo Cody","MXN Entertainment","PG-13 (Violent Content|Sexual Assault|Language|Bloody Images|Sexual Material|Teen Drinking and Drug Content)",,,"Feb 9 2024, wide",,"1h 41m",,"A coming of RAGE love story from acclaimed writer Diablo Cody (Jennifer's Body) about a misunderstood teenager and her high school crush, who happens to be a handsome corpse. After a set of playfully horrific circumstances bring him back to life, the two embark on a murderous journey to find love, happiness... and a few missing body parts along the way.","Lisa Frankenstein","51","https://www.rottentomatoes.com/m/lisa_frankenstein",,"Diablo Cody"
"Digital 2.39:1","84","$67.8M","Leonardo DiCaprio, Robert De Niro, Jesse Plemons","Martin Scorsese","Paramount Pictures","Crime, Drama","English","Martin Scorsese, Dan Friedkin, Bradley Thomas, Daniel Lupi","Apple Studios, Appian Way, Imperative Entertainment, Sikelia Productions","R (Some Grisly Images|Language|Violence)",,"Dec 5 2023","Oct 20 2023, wide",,"3h 26m","Dolby Atmos Dolby Digital","Based on David Grann's broadly lauded best-selling book, ""Killers of the Flower Moon"" is set in 1920s Oklahoma and depicts the serial murder of members of the oil-wealthy Osage Nation, a string of brutal crimes that came to be known as the Reign of Terror.","Killers of the Flower Moon","93","https://www.rottentomatoes.com/m/killers_of_the_flower_moon",,"Eric Roth, Martin Scorsese"
"Digital 2.39:1","91","$205.2M","Timothée Chalamet, Hugh Grant, Calah Lane","Paul King","Warner Bros. Pictures","Kids & family, Musical, Comedy, Fantasy","English","David Heyman, Alexandra Derbyshire, Luke Kelly","Heyday Films","PG (Some Violence|Mild Language|Thematic Elements)",,"Jan 30 2024","Dec 15 2023, wide",,"1h 56m","Dolby Atmos Dolby Digital","Based on the extraordinary character at the center of Charlie and the Chocolate Factory, Roald Dahl’s most iconic children's book and one of the best-selling children's books of all time, ""Wonka"" tells the wondrous story of how the world's greatest inventor, magician and chocolate-maker became the beloved Willy Wonka we know today.","Wonka","82","https://www.rottentomatoes.com/m/wonka",,"Simon Farnaby, Paul King"
"Flat (1.85:1)","94","$34.7M","Zac Efron, Jeremy Allen White, Harris Dickinson","Sean Durkin","A24","Drama, Action, Biography, Sports","English","Tessa Ross, Juliette Howell, Angus Lamont, Sean Durkin, Derrin Schlesinger","House Productions, Access Entertainment, BBC Film","R (Language|Drug Use|Some Sexuality|Suicide)",,"Feb 13 2024","Dec 22 2023, wide",,"2h 12m","Dolby Digital","The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s. Through tragedy and triumph, under the shadow of their domineering father and coach, the brothers seek larger-than-life immortality on the biggest stage in sports.","The Iron Claw","89","https://www.rottentomatoes.com/m/the_iron_claw_2023",,"Sean Durkin"
"Flat (1.85:1)","66","$130.1K","Juliette Binoche, Benoît Magimel, Emmanuel Salinger","Tran Anh Hung","IFC Films","Drama, Romance, History","French (France)","Olivier Delbosc","Curiosa Films, Gaumont, Umedia, France 2 Cinéma","PG-13 (Some Sensuality|Smoking|Partial Nudity)",,,"Dec 15 2023, limited",,"2h 25m","Dolby Digital","Cook Eugenie and her boss Dodin grow fond of one another over 20 years, and their romance gives rise to dishes that impress even the world's most illustrious chefs. When Dodin is faced with Eugenie's reluctance to commit, he begins to cook for her.","The Taste of Things","98","https://www.rottentomatoes.com/m/the_taste_of_things",,"Tran Anh Hung"
,"",,"Hilary Swank, Alan Ritchson, Nancy Travis","Jon Gunn","Lionsgate","Drama","English","David Beal, Jon Berg, Johnathan Dorfman, Kevin Downes, Andrew Erwin, Jon Erwin, Sarah E. Johnson, Dave Matthews","Stampede Ventures, Vertigo Entertainment, Kingdom Story Company, Green Hummingbird Entertainment, Stolen Sky Productions","PG (Thematic Content|Smoking|Brief Bloody Images)",,,"Feb 23 2024, wide",,"1h 56m",,"Based on a remarkable true story, ORDINARY ANGELS centers on Sharon Steves (Hilary Swank), a fierce but struggling hairdresser in small-town Kentucky who discovers a renewed sense of purpose when she meets Ed Schmitt (Alan Ritchson), a widower working hard to make ends meet for his two daughters. With his youngest daughter waiting for a liver transplant, Sharon sets her mind to helping the family and will move mountains to do it. What unfolds is the inspiring tale of faith, everyday miracles, and ordinary angels.","Ordinary Angels","","https://www.rottentomatoes.com/m/ordinary_angels",,"Kelly Fremon Craig, Meg Tilly"
,"80",,"Clara McGregor, Ewan McGregor, Vera Bulder","Emma Westenberg","Vertical","Drama","English","Mark Amin, Christine Vachon, Clara McGregor, Vera Bulder, Greg Lauritano, Mason Plotts, Cami Winikoff","Killer Films, Black Magic, Sobini Films",,,"Feb 16 2024","Feb 16 2024, limited",,"1h 42m",,"After a drastic incident in her life, a young woman (Clara McGregor) embarks on an impromptu road trip with her estranged father (Ewan McGregor). En route to their destination of Santa Fe, New Mexico, the two are forced to confront the issues of their past that have led to their frail relationship, while encountering an eccentric array of characters along the way, in order to bring them closer together again.","Bleeding Love","48","https://www.rottentomatoes.com/m/bleeding_love",,"Ruby Caster"
,"",,"Sharon Stone, Andy Garcia, José Coronado","Klaus Menzel","XWS","Drama, Romance","English","Klaus Menzel","Quality Films",,,,"Feb 14 2024, limited",,"1h 54m",,"Two young people, somewhat wary of love, spend a summer together in Europe making a film about people's attitude towards love. Tanner and Christian realize that they're actually filming their own love story, but they have no idea that their film will ultimately save Christian's life after tragedy strikes them both.","What About Love","","https://www.rottentomatoes.com/m/what_about_love",,"Klaus Menzel, Douglas Day Stewart"
"35mm Flat (1.66:1)","90",,"Oleg Jankovskij, Erland Josephson, Domiziana Giordano","Andrei Tarkovsky",,"Drama","Italian","Franco Casati, Daniel Toscan du Plantier","Opera Film Produzione",,,"Jan 30 2014","Jan 8 1984, original","Feb 21 2024","2h 5m",,"Andrei Tarkovsky explained that in Russian the word ""nostalghia"" conveys ""the love for your homeland and the melancholy that arises from being far away."" This debilitating form of homesickness is embodied in the film by Andrei (Oleg Yankovsky, The Mirror), a Russian intellectual doing research in Italy. He becomes obsessed with the Botticelli-like beauty of his translator Eugenia (Domiziana Giordano), as well as with the apocalyptic ramblings of a self-destructive wanderer named Domenico (Erland Josephson, The Sacrifice). Written with frequent Michelangelo Antonioni collaborator Tonino Guerra (L'Avventura) and newly restored in 4K from the original camera negative, Nostalghia is a mystical and mysterious collision of East and West, shot with the tactile beauty that only Tarkovsky can provide. As J. Hoberman wrote, ""Nostalghia is not so much a movie as a place to inhabit for two hours.""","Nostalghia","87","https://www.rottentomatoes.com/m/nostalghia",,"Tonino Guerra, Andrei Tarkovsky"
,"",,"Frank Grillo, Mekhi Phifer, Jaime King","Christian Sesma","Quiver Distribution","Action, Mystery & thriller","English","Brandon Burrows","Firebrand","R (Pervasive Language|Violence)",,"Feb 16 2024","Feb 16 2024, limited",,"1h 30m",,"In Lights Out, a homeless veteran, Michael ""Duffy"" Duffield (Frank Grillo), meets a talkative Ex-Con, Max Bomer (Mekhi Phifer) who notices Duffy's skills after he gets into a bar fight and offers him a well-paying ""job"" competing in underground fight clubs. The pair form an unlikely partnership after their first fight and decide to travel to LA so Duffy can atone for his past and Max can pay back a crime boss, Sage Parker (Dermot Mulroney). Duffy enters Sage's fight club and eventually wins, but it also gets him tied up in the crime world and offered jobs he can't refuse, including one with Sage's partner and Police officer, Ellen Ridgway (Jaime King). The deeper Duffy goes in this world, the more deadly it gets.","Lights Out","13","https://www.rottentomatoes.com/m/lights_out_2024",,"Chad Law, Garry Charles"
,"",,"Takahiro Sakurai, Ayumi Ito, Shotaro Morikubo","Tetsuya Nomura","Fathom Events","Sci-fi, Fantasy, Action, Anime","Japanese","Yoshinori Kitase, Shinji Hashimoto","Square Enix, Square USA","PG-13 (Intense Sci-Fi Action/Violence)",,"Jul 19 2016","Feb 21 2024, limited",,"1h 40m","Dolby Digital","A hero named Cloud (Takahiro Sakurai) must fight a new evil as a mysterious disease affects mankind in a devastated city.","Final Fantasy VII: Advent Children","50","https://www.rottentomatoes.com/m/final_fantasy_vii_advent_children",,"Kazushige Nojima"
,"56","$391.3K","Leonie Benesch, Leonard Stettnisch, Eva Löbau","Ilker Çatak","Sony Pictures Classics","Drama","German","Ingo Fliess","Arte, if... Productions, ZDF","PG-13 (Some Strong Language)",,,"Dec 25 2023, limited",,"1h 34m",,"Carla Nowak, a dedicated sports and math teacher, starts her first job at a high school. She stands out among the new staff because of her idealism. When a series of thefts occur at the school and one of her students is suspected, she decides to get to the bottom of the matter on her own. Carla tries to mediate between outraged parents, opinionated colleagues and aggressive students, but is relentlessly confronted with the structures of the school system. The more desperately she tries to do everything right, the more the young teacher threatens to break.","The Teachers' Lounge","97","https://www.rottentomatoes.com/m/the_teachers_lounge",,"Ilker Çatak, Johannes Duncker"
"Flat (1.85:1)","89","$4.6M","Sandra Hüller, Swann Arlaud, Milo Machado Graner","Justine Triet","NEON","Mystery & thriller, Crime, Drama","French","Marie-Ange Luciani, Philippe Martin, David Thion","Auvergne Rhône-Alpes Cinéma, France 2 Cinéma, Les Films de Pierre, Les Films Pelléas","R (Some Language|Sexual References|Violent Images)",,"Dec 22 2023","Oct 13 2023, limited",,"2h 30m","Dolby Digital","For the past year, Sandra, her husband Samuel, and their eleven-year-old son Daniel have lived a secluded life in a remote town in the French Alps. When Samuel is found dead in the snow below their chalet, the police question whether he was murdered or committed suicide. Samuel's suspicious death is presumed murder, and Sandra becomes the main suspect. What follows is not just an investigation into the circumstances of Samuel's death but an unsettling psychological journey into the depths of Sandra and Samuel's conflicted relationship.","Anatomy of a Fall","96","https://www.rottentomatoes.com/m/anatomy_of_a_fall",,"Justine Triet, Arthur Harari"
