"aspect ratio","audience score","box office (gross usa)","cast","director","distributor","genre","original language","producer","production co","rating","release date (streaming)","release date (theaters)","rerelease date (theaters)","runtime","sound mix","synopsis","title","tomatometer","url","view the collection","writer"
,"73",,"Erwin Leder, Silvia Rabenreither, Edith Rosset","Gerald Kargl",,"Crime, Drama, Horror","German","Gerald Kargl, Josef Reitinger-Laska",,,"Mar 15 2018",,,"1h 15m",,"A killer is released from prison and breaks into a remote home to kill a woman, her handicapped son and her pretty daughter.","Angst","100","https://www.rottentomatoes.com/m/angst_1983",,"Gerald Kargl, Zbigniew Rybczyński"
,"",,"Seth Green, Kat Alioshin, Jon V. Peters","Kat Alioshin",,"Documentary","English","Kat Alioshin",,,"Jul 12 2020",,,"1h 5m",,"Two hippie friends set out to create an animation festival.","Animation Outlaws","100","https://www.rottentomatoes.com/m/animation_outlaws",,"Jon V. Peters"
,"85",,"Sukhesh Arora, Manoj Bajpayee, Balaji Gauri","Hansal Mehta",,"Biography, Drama","Hindi","Sunil Lulla, Shailesh R. Singh",,,"Mar 17 2017",,,"1h 54m",,"Dr. Shrinivas Ramchandra Siras is suspended from his job because of his sexual orientation.","Aligarh","100","https://www.rottentomatoes.com/m/aligarh",,"Apurva Asrani"
,"90",,"Rupinder Nagra, Naseeruddin Shah, Richie Mehta","Richie Mehta",,"Drama","Hindi",,"Entertainment One",,"Jun 6 2016",,,"1h 41m",,"A rickshaw driver must decide to keep a billionaire's inheritance or stay humble.","Amal","100","https://www.rottentomatoes.com/m/amal",,"Richie Mehta, Shaun Mehta"
,"76",,"Anita O'Day, Buddy Bregman, Leonard Feather","Robbie Cavolina, Ian McCrudden",,"Documentary, Music","English","Robbie Cavolina, Ian McCrudden, Melissa Davis",,,"Mar 5 2016","Aug 15 2008, limited",,"1h 33m",,"This documentary explores the life of jazz singer Anita O'Day. As a child, Anita had a tonsillectomy, during which her uvula was accidentally removed. The surgery prevents her from singing vibrato and holding long notes, but lends to her much-revered percussive style. Anita overcomes her vocal hurdle, as well as many others -- including poverty, heroin addiction and jail time for a drug arrest -- to become one of the most prolific and respected jazz vocalists of the 20th century.","Anita O'Day: The Life of a Jazz Singer","100","https://www.rottentomatoes.com/m/1215016-anita_oday_the_life_of_a_jazz_singer",,"Robbie Cavolina, Ian McCrudden"
,"93","$67.6K","Norma Miller, Susan Glatzer, Susan Glatzer","Susan Glatzer","Magnolia Pictures","Documentary, Music","English","Susan Glatzer","Blumhouse Productions, Magnolia Pictures",,"Apr 7 2017","Apr 7 2017, limited",,"1h 28m",,"After getting involved in swing dancing, some people are inspired to look inside themselves and make changes in their lives.","Alive and Kicking","100","https://www.rottentomatoes.com/m/alive_and_kicking_2017",,"Susan Glatzer"
,"92",,"Anant Nag, Shabana Azmi, Sadhu Meher","Shyam Benegal",,"Drama, Romance","Hindi",,,,"May 19 2020",,,"2h 11m",,"A married man seduces his servant but is unable to accept the responsibilities of her resulting pregnancy.","Ankur","100","https://www.rottentomatoes.com/m/ankur",,"Shyam Benegal"
"Flat (1.85:1)","52",,"Anaïs Demoustier, Félix Moati, Sophie Verbeeck","Jérôme Bonnell",,"Comedy, Romance","French (France)","Edouard Weil","France 3 Cinéma, Rectangle Productions, Scope Pictures, Wild Bunch",,"Oct 10 2017",,,"1h 26m",,"Melodie finds herself the object of desire for both parts of a couple on the verge of splitting up.","All About Them","100","https://www.rottentomatoes.com/m/all_about_them",,"Jérôme Bonnell, Maël Piriou"
,"",,"Mohamed Jabaly, Abo Marzouq Khader Al-Helo, Abd-Razaq Al-Helo","Mohamed Jabaly",,"Documentary","Arabic","John Arvid Berger",,,"Jun 10 2017",,,"1h 20m",,"While many young people dream of leaving Gaza, Mohamed wants to help. When he hears the news of a new Israeli offensive on Gaza in July 2014, he decides he must do something and joins an ambulance crew to document the war.","Ambulance","100","https://www.rottentomatoes.com/m/ambulance_2016",,"Mohamed Jabaly"
,"97",,"Aengus James, Aengus James, Colin King Miller","Aengus James",,"Documentary","English","Aengus James, Colin King Miller",,,"May 11 2017",,,"1h 25m",,"Filmmaker Aengus James journeys deep into the madcap world of competitive barbershop-quartet singing.","American Harmony","100","https://www.rottentomatoes.com/m/american_harmony",,
,"67",,"Jordan Rezgui, Marie-anne Guérin, Eric Nantchouang","Guillaume Brac",,"Comedy","French (France)",,"Geko Films, Arte",,"Aug 4 2021",,,"1h 35m",,"On a hot summer night in Paris, Félix meets a young woman, Alma, and falls in love. The next morning, Alma hops on a train to join her family in southern France. Félix, determined to follow his soulmate, embarks on a carpool ride with his best friend Chérif and their reluctant driver Edouard. When the car breaks down upon arrival, things turn sour: Alma doesn't seem too pleased by this unexpected visit.","All Hands on Deck","100","https://www.rottentomatoes.com/m/all_hands_on_deck_2020",,
,"28",,"Celina Smith, Taraji P. Henson, Harry Connick Jr.","Alex Rudzinski, Lear DeBessonet",,"Comedy, Drama, Musical","English",,,,"Dec 2 2021",,,"3h 0m",,"","Annie Live!","100","https://www.rottentomatoes.com/m/annie_live",,
,"68",,"Stacey Abrams, Lisa Cortes, Liz Garbus","Lisa Cortes, Liz Garbus","Amazon Studios","Documentary","English","Stacey Abrams, Dan Cogan, Lisa Cortes, Liz Garbus","Story Syndicate","PG-13","Sep 18 2020","Sep 9 2020, limited",,"1h 42m",,"Filmmakers Liz Garbus and Lisa Cortes examine the history of voter suppression and the activists who fight for the rights of U.S. citizens.","All In: The Fight for Democracy","100","https://www.rottentomatoes.com/m/all_in_the_fight_for_democracy",,"Jack Youngelson"
,"",,"Anote Tong, Oana Suteu, Matthieu Rytz","Matthieu Rytz",,"Documentary","English","Matthieu Rytz",,,"Apr 27 2019",,,"1h 17m",,"Rising sea levels threaten to destroy the Pacific island nation of Kiribati.","Anote's Ark","100","https://www.rottentomatoes.com/m/anotes_ark",,"Matthieu Rytz"
,"",,"Jeanine Isabel Butler, Jeanine Isabel Butler, Catherine Lynn Butler","Jeanine Isabel Butler","Abramorama","Documentary","English",,"Butlerfilms, American Dialogues",,"Feb 7 2021","Jul 12 2019, limited",,"1h 26m",,"Ministers discard fundamentalist Christian doctrine in favor of a gospel of inclusion.","American Heretics: The Politics of the Gospel","100","https://www.rottentomatoes.com/m/american_heretics_the_politics_of_the_gospel",,"Jeanine Isabel Butler, Catherine Lynn Butler"
"Scope (2.35:1)","61",,"Aenne Schwarz, Andreas Döhler, Hans Löw","Eva Trobisch",,"Drama","German","Trini Goetze, Veronika Neuber","Trimaphilm",,"Jun 12 2019",,,"1h 33m",,"A woman hides a sexual assault by her new boss' brother-in-law.","All Is Good","100","https://www.rottentomatoes.com/m/all_is_well_2018",,"Eva Trobisch"
,"95",,"Matthew Batten, Keith Bear, Cory Spotted Bear","Gruff Rhys, Dylan Goch",,"Documentary","English (United Kingdom)","Catryn Ramasut",,,"Jul 7 2015",,,"1h 32m",,"Welsh musician Gruff Rhys films his latest road trip.","American Interior","100","https://www.rottentomatoes.com/m/american_interior",,
,"100",,"Toheeb Jimoh, Rakie Ayola, Julia Brown","Terry McDonough",,"Drama","English (United Kingdom)","Colin McKeown, Donna Molloy","LA Productions",,"Oct 8 2020",,,"1h 30m",,"In July 2005, Black teenager Anthony Walker is murdered at just 18 years of age by two white men in an unprovoked racist attack in a Liverpool park. This film imagines how Anthony's future might've played out if fate and hate hadn't taken it away, giving the talented young man the chance to realize his dreams and enjoy the life he had every right to live.","Anthony","100","https://www.rottentomatoes.com/m/anthony_2020",,"Jimmy McGovern"
,"55",,"Allison Ellwood, Sarah Dowland, Stacey Offman","Allison Ellwood",,"Documentary","English","Sarah Dowland, Stacey Offman","CBS Films, Film 45",,"Apr 23 2017",,,"2h 0m",,"This exploration of homegrown Jihadism takes a look at how young men are radicalized to commit violent acts of terrorism and what can be done to prevent it.","American Jihad","100","https://www.rottentomatoes.com/m/american_jihad",,
,"87",,"Anthony Jeselnik, Adam Dubin, Anthony Jeselnik","Adam Dubin",,"Comedy, Stand-up",,,,,"Oct 16 2015",,,"1h 0m",,"Filmed at the historic Fillmore Theatre in San Francisco, Anthony Jeselnik's latest special delivers an all-new hour of hilarious, laugh-out-loud stand-up comedy. No one's safe, nothing's off limits -- children, women, sex offenders, nuns, starving puppies, not even Eric Clapton.","Anthony Jeselnik: Thoughts and Prayers","100","https://www.rottentomatoes.com/m/anthony_jeselnik_thoughts_and_prayers",,"Anthony Jeselnik"
,"87",,"David Ridgen, Nicolas Rossier","David Ridgen, Nicolas Rossier",,"Documentary, Biography, Mystery & thriller, War","English",,,,"Jan 23 2017",,,"1h 24m",,"American Jewish academic Norman Finkelstein discusses foreign policy toward Israel and the Middle East.","American Radical: The Trials of Norman Finkelstein","100","https://www.rottentomatoes.com/m/american_radical",,
"Digital 2.39:1","68",,"Omar Sy, James Thiérrée, Clotilde Hesme","Roschdy Zem",,"Biography, Drama","French (France)","Éric Altmayer, Nicolas Altmayer","M6 Films, Mandarin Cinéma, Korokoro, Gaumont",,"Oct 1 2018",,,"1h 50m",,"The life and career of the clown Chocolate, the first black circus artist in France.","All Out","100","https://www.rottentomatoes.com/m/chocolat_2016",,"Cyril Gely"
,"70",,"Richard Thomas, Ernest Borgnine, Patricia Neal","Delbert Mann",,"War","English","Norman Rosemont","Norman Rosemont Productions, ITC Entertainment, Marble Arch Productions","TVPG","Apr 16 2018",,,"2h 36m",,"At the start of World War I, Paul Baumer (Richard Thomas) is a young German patriot, eager to fight. Indoctrinated with propaganda at school, he and his friends eagerly sign up for the army soon after graduation. But when the horrors of war soon become too much to bear, and as his friends die or become gravely wounded, Paul questions the sanity of fighting over a few hundreds yards of war-torn countryside. The film is based on the classic novel of the same name by Erich Maria Remarque.","All Quiet on the Western Front","100","https://www.rottentomatoes.com/m/all_quiet_on_the_western_front_1979",,"Paul Monash"
,"84",,"Pat McGee, Adam Linkenhelt, Devon Collins","Pat McGee, Adam Linkenhelt","Gravitas Ventures","Documentary","English","Devon Collins, Terry Hahin, Adam Linkenhelt","Gravitas Ventures",,"Apr 4 2019","Mar 29 2019, limited",,"1h 45m",,"Filmmakers follow two recovering addicts for 72 hours as they try to help other users quit.","American Relapse","100","https://www.rottentomatoes.com/m/american_relapse",,
,"74",,"Hiroshi Teshigahara, Shinji Hori, Kurodo Mori","Hiroshi Teshigahara","Kino Pictures","Documentary","Japanese",,"Teshigahara Productions",,"May 22 2017","Jan 1 1984, wide",,"1h 22m",,"In this documentary, filmmaker Hiroshi Teshigahara profiles Spanish architect Antonio Gaudi. Much of Gaudi's work pays homage to the Catalan art of the Middle Ages -- Gaudi being a Catalan himself -- and so Teshigahara pays careful attention to the historical context of the artist's most renowned works. And because Gaudi's body of work is so vast, Teshigahara forgoes the artist's ceramic work and instead spotlights his architectural and sculptural designs.","Antonio Gaudi","100","https://www.rottentomatoes.com/m/antonio_gaudi_1986",,
,"89",,"Tas Pappas, Tommy Caudill, Lance Conklin","Eddie Martin",,"Documentary","English","James Gay-Rees, Steve Harrow","Pank & Martin",,"Oct 15 2015",,,"1h 36m",,"Brothers Tas and Ben Pappas become the kings of professional skateboarding, but their hedonistic ways lead to a hard fall from grace.","All This Mayhem","100","https://www.rottentomatoes.com/m/all_this_mayhem",,
,"70",,"Humphrey Bogart, Conrad Veidt, Karen Verne","Vincent Sherman",,"Drama","English","Hal B. Wallis","Warner Brothers",,"May 26 2016","Jan 10 1942, limited",,"1h 47m",,"When noted gambler Alfred ""Gloves"" Donahue (Humphrey Bogart) makes a trip to his local bakery to see why his cheesecake hasn't been delivered, he sees nightclub singer Leda Hamilton (Kaaren Verne) leaving the bakery, and finds that his favorite baker has been murdered. Donahue becomes the prime suspect in the case, so he has to take matters into his own hands to clear his name. Things take a shocking turn when he discovers that a Nazi spy ring may have had a hand in the poor baker's death.","All Through the Night","100","https://www.rottentomatoes.com/m/all_through_the_night",,
,"51",,"Nick Cannon, Melonie Diaz, Matt O'Leary","Neil Abramson",,"Drama","English","Michael Roiff, Danielle Renfrew","Night & Day Pictures","R (Drug Use|Some Sexual Content|Pervasive Language)","Apr 19 2016",,,"1h 25m",,"A freshly graduated Marine returns home to his dysfunctional family for Thanksgiving.","American Son","100","https://www.rottentomatoes.com/m/1213536-american_son",,"Neil Abramson, Eric Schmid"
,"81",,"Amanda Wilder, Jay Craven, Robert Greene","Amanda Wilder",,"Documentary","English","Jay Craven, Robert Greene, Amanda Wilder, Caitlin Mae Burke","Wilder Films",,"Jun 20 2017",,,"1h 29m",,"The inaugural year of the Teddy McArdle Free School, where all classes are voluntary and rules are voted on by adults and children.","Approaching the Elephant","100","https://www.rottentomatoes.com/m/approaching_the_elephant",,
,"78",,"Christelle Cornil, William Coryn, Jean-Luc Couchard","Laurent Boileau, Jung Henin",,"Biography, Animation","French (Canada)","Patrick Quinet, Nicolas Piccato, Thomas Schmitt","Panda Media",,"Aug 10 2016",,,"1h 15m",,"Jung is adopted by a family in Belgium. He was always a foreigner, being neither a Westerner or an Asian. He eventually becomes a successful cartoonist and heads to Korea to find his roots.","Approved for Adoption","100","https://www.rottentomatoes.com/m/771235780",,"Laurent Boileau"
,"100",,"Biz Markie, Tara Hall, Nick Cannon","Sacha Jenkins","Showtime","Documentary, Music, Biography","English","Andre Wilkins, Djali Brown-Cepeda","Mass Appeal",,"Aug 11 2023",,,"1h 40m",,"Celebrity interviews and rare archival footage provide insight into the life and legacy of hip-hop icon Biz Markie.","All Up in the Biz","100","https://www.rottentomatoes.com/m/all_up_in_the_biz",,"Sacha Jenkins, Andre Wilkins"
,"92",,"Shawn Convey, Kevin Ripp, Shawn Convey","Shawn Convey",,"Documentary","Croatian","Shawn Convey",,,"Apr 1 2019","Nov 4 2018, limited",,"1h 34m",,"Following the civil war in the Balkans, a humanitarian biker club takes it upon themselves to protect the endangered wild horses of Bosnia and Herzegovina.","Among Wolves","100","https://www.rottentomatoes.com/m/among_wolves_2019",,"Kevin Ripp"
,"73",,"Carey Means, Dana Snyder, Dave Willis","Dave Willis, Matt Maiellaro",,"Action, Adventure, Comedy, Animation","English","Matt Maiellaro, Dave Willis, Nick Ingkatanuwat, Danya Levine","Williams Street","R (Crude Sexual Content|Some Violence|Language)","Nov 8 2022",,,"1h 15m",,"Everyone's favorite rascals Frylock, Master Shake, Meatwad and Carl fight the corporate overlord Amazin, led by tech mogul Neil and his trusty scientist sidekick, Elmer.","Aqua Teen Forever: Plantasm","100","https://www.rottentomatoes.com/m/aqua_teen_forever_plantasm",,"Dave Willis, Matt Maiellaro"
,"100",,"Arturo González Villaseñor, Indira Cato","Arturo González Villaseñor",,"Documentary","Spanish","Indira Cato",,,"Apr 13 2017",,,"1h 30m",,"Mexican women give food and water to migrants.","All of Me","100","https://www.rottentomatoes.com/m/llevate_mis_amores",,
,"18",,"Amy Schumer, Amy Schumer, Amy Schumer","Amy Schumer","Netflix","Comedy, Stand-up","English",,,,"Jun 13 2023",,,"51m",,"In Amy Schumer's newest comedy special Emergency Contact, she delivers another hilariously relatable and uncensored commentary about her life.","Amy Schumer: Emergency Contact","100","https://www.rottentomatoes.com/m/amy_schumer_emergency_contact",,"Amy Schumer"
,"78","$6.2K","Crista Alfaiate, João Pedro Bénard, Isabel Muñoz Cardoso","Miguel Gomes","Kino Lorber","Drama","Portuguese (Brazil)","Sandro Aguilar, Thomas Ordonneau, Luís Urbano",,,"Apr 8 2016","Dec 11 2015, limited",,"2h 11m",,"Several stories demonstrate how desolation has invaded humanity.","Arabian Nights: Volume 2 -- The Desolate One","100","https://www.rottentomatoes.com/m/arabian_nights_volume_2_the_desolate_one",,"Telmo Churro, Miguel Gomes, Mariana Ricardo"
,"86",,"Kate Willings, Jess Phoenix, Ivo Marloh","Ivo Marloh",,"Documentary, Adventure","English","Ivo Marloh, Darcia Martin","Full Exposure Films",,"May 10 2018",,,"1h 30m","Dolby SR","International riders compete in the Mongol Derby in Mongolia, often called the longest and toughest horse race on the planet.","All the Wild Horses","100","https://www.rottentomatoes.com/m/all_the_wild_horses",,"Ivo Marloh"
"Scope (2.35:1)","93",,"Melissa Barrera, Jackie Cruz, Jorge Garcia","Ryan Lacen","Gravitas Ventures","Drama","English","Anthony Baldino, Sonja Mereu, Ian Simon","Normal Films",,"Mar 17 2023","Mar 17 2023, limited",,"1h 50m",,"As a young girl in New Mexico, Chama strived to be different from her Mother. Now in her 20's, she's found herself falling into a similar cycle of generational addiction. This struggle threatens her balance as a mother to her own daughter. As Chama tries to keep it all together, a harrowing accident will spiral her out of control causing her daughter to be taken from her custody. With nothing left, she'll have to confront her past in order to fight for a future -- one that can either guide her closer to getting her daughter back or lead her deeper into this dangerous cycle.","All the World Is Sleeping","100","https://www.rottentomatoes.com/m/all_the_world_is_sleeping",,"Ryan Lacen"
,"",,"Erick Stoll, Chase Whiteside, Erick Stoll","Erick Stoll, Chase Whiteside",,"Documentary","Spanish","Erick Stoll, Chase Whiteside",,,"Nov 14 2019",,,"1h 16m",,"Brothers confront the chasm between adolescence and adult reality when they care for their 93-year-old grandmother.","América","100","https://www.rottentomatoes.com/m/america_2018",,
,"",,"Eddie Peng, Sylvia Chang, Yanhui Wang","Shipei Wen",,"Mystery & thriller, Crime, Drama","Chinese","Jingxuan Hu, Jing Wang","Dirty Monkey Films Group",,"Mar 17 2023",,,"1h 36m",,"On a dark night, Xueming hits a pedestrian with his car and flees the scene. Desperate to escape his feelings of guilt, he decides to approach the dead man's wife, Mrs. Liang. Meanwhile, the body is discovered -- riddled with bullets. Chen, the detective in charge of the investigation, becomes obsessed with the case. Years later, all three remain caught in a tangled web of memories and lies, desperately searching for a truth that refuses to be revealed...","Are You Lonesome Tonight?","100","https://www.rottentomatoes.com/m/are_you_lonesome_tonight_2021",,"Noé Dodson, Yinuo Wang, Shipei Wen, Binghao Zhao, Zhao Binghao, Yinuo Wang, Shipei Wen, Noé Dodson"
,"83",,"David Hasselhoff, Emilie Autumn, Paul Sorvino","Darren Bousman",,"Musical, Fantasy","English","Sean E. DeMott, Chris M. Bonifay, Chang Tseng","Execution Style Entertainment",,"Mar 29 2016","Aug 11 2015, limited",,"1h 38m",,"All hell breaks loose when Lucifer (Terrance Zdunich) sets a plot in motion against heaven.","Alleluia! The Devil's Carnival","100","https://www.rottentomatoes.com/m/the_devils_carnival_alleluia",,"Terrance Zdunich"
,"",,"Michael Cashman, Peter Tatchell, Ashley Joiner","Ashley Joiner",,"Documentary, Lgbtq+","English (United Kingdom)","Dan Cleland","Peccadillo Pictures",,"May 10 2020",,,"1h 35m",,"The history of the LGBTQ+ movement in the 50 years since the Stonewall Riots. Reflecting upon prominent issues within the LGBTQ+ community like AIDs and hate crimes, the film also shows how the movement has supported people from all walks of life.","Are You Proud?","100","https://www.rottentomatoes.com/m/are_you_proud",,
,"",,"Terry Gilliam, Richard E. Grant, Brenda Vaccaro","Bill Jones, Kim Leggatt, Ben Timlett",,"Documentary, Music","English (United Kingdom)","Bill Jones, Kim Leggatt, Ben Timlett","Bill and Ben Productions",,"Jul 26 2020",,,"1h 30m",,"The early days of HandMade Films from the perspective of the filmmakers, key personnel, and former Beatle George Harrison.","An Accidental Studio: The Story of HandMade Films","100","https://www.rottentomatoes.com/m/an_accidental_studio",,
,"93",,"Randall Nickerson, Randall Nickerson, Randall Nickerson","Randall Nickerson",,"Documentary","English","Randall Nickerson","String Theory Films",,"May 20 2022",,,"1h 41m",,"In this first feature documentary about the Ariel School UFO incident, Ariel Phenomenon explores an African extraterrestrial encounter witnessed by over sixty schoolchildren in 1994. As a Harvard professor, a BBC war reporter, and past students investigate, they struggle to answer the question: ""What happens when you experience something so extraordinary that nobody believes you?""","Ariel Phenomenon","100","https://www.rottentomatoes.com/m/ariel_phenomenon",,"Randall Nickerson, Chris Seward"
,"82",,"Jarreth J. Merz, Kevin Merz, Erika Tasini","Jarreth J. Merz, Kevin Merz",,"Documentary, Drama, History","English",,,,"Jan 8 2017",,,"1h 29m",,"Jarreth Merz exposes political electioneering in Africa.","An African Election","100","https://www.rottentomatoes.com/m/an_african_election_2011",,"Erika Tasini, Shari Yantra Marcacci"
,"83",,"Lucia Sardo, Ileana Rigano, Marta Castiglia","Paolo Licata",,"Drama","Italian",,,,"Feb 14 2021",,,"1h 35m",,"A young girl rebels after being left with her grandmother in a small Italian town while her parents emigrate to France in pursuit of a better life.","Alone With Her Dreams","100","https://www.rottentomatoes.com/m/alone_with_her_dreams",,
"Flat (1.85:1)","88",,"Aleksandr Yatsenko, Irina Gorbacheva, Nikolay Shrayber","Boris Khlebnikov",,"Drama, Romance","Russian","Ruben Dishdishyan, Sergey Selyanov","Mars Media Entertainment, STV Film Company",,"Apr 8 2019",,,"1h 56m",,"A dedicated paramedic struggles to make time for his wife, who is fed up with him caring more about his patients than about her.","Aritmiya","100","https://www.rottentomatoes.com/m/arrhythmia",,"Nataliya Meshchaninova, Boris Khlebnikov"
,"75",,"Nour El-Sherif, Mohsen Mohi El-dine, Oussama Nadir","Youssef Chahine",,"Drama, Fantasy","Arabic","Youssef Chahine","MISR International Films",,"Jun 19 2020",,,"1h 55m",,"Undergoing open heart surgery, and under the influence of anesthesia, filmmaker Yehia (Nour El-Sherif) imagines an elaborate trial at which he faces prepubescent (Oussama Nadir) and teenage (Mohsen Mohi El-dine) versions of himself against the backdrop of Egyptian history and of his own career. Different times and places collide as versions of Yehia confront family members, witness revolution and travel to international film festivals in search of success.","An Egyptian Story","100","https://www.rottentomatoes.com/m/egyptian_story",,"Youssef Chahine"
,"80",,"Diana Cavallioti, Mircea Postelnicu, Carmen Tanase","Calin Peter Netzer",,"Drama, Romance","Romanian","Calin Peter Netzer","Augenschein Filmproduktion",,"Apr 6 2019",,,"2h 5m",,"Two students meet and fall in love.","Ana, mon amour","100","https://www.rottentomatoes.com/m/ana_mon_amour",,"Calin Peter Netzer, Iulia Lumanare, Cezar Paul-Badescu"
,"81",,"Roxy Striar, Andrew Ghai, Sheldon White","Jeffrey Crane Graham","Good Deed Entertainment","Drama","English","Laura Palmer","Graham House Productions",,"Nov 28 2023",,,"1h 27m",,"Five high school graduates mourn the loss of their best friend on their annual camping trip, discovering new truths surrounding her death.","Always, Lola","100","https://www.rottentomatoes.com/m/always_lola",,"Jeffrey Crane Graham"
,"75",,"Alex Dobrenko, Ashley Spillers, Sam Eidson","Steve Mims",,"Comedy","English","Andrew Cottrell, John Wood",,,"Jan 24 2016",,,"1h 16m",,"A neurotic couple's obsession with a puzzle unravels their world and disconnects them from reality.","Arlo & Julie","100","https://www.rottentomatoes.com/m/arlo_and_julie",,"Steve Mims"
,"88",,"Matthew Modine, Alan Alda, Lily Tomlin","Roger Spottiswoode",,"Drama, Lgbtq+","English",,"HBO Films","PG-13","Aug 1 2016",,,"2h 20m","Stereo","In 1981, epidemiologist Don Francis (Matthew Modine) learns of an increased rate of death among gay men in urban areas. The startling information leads him to begin investigating the outbreak, which is ultimately identified as AIDS. His journey finds mostly opposition from politicians and doctors, but several join him in his cause. As it becomes apparent that people have personal reasons to turn the other cheek, Francis persists. Meanwhile, the number of deaths continues to grow.","And the Band Played On","100","https://www.rottentomatoes.com/m/and_the_band_played_on",,
"Scope (2.35:1)","90","$1.3M","Tabu, Ayushmann Khurrana, Radhika Apte","Sriram Raghavan",,"Comedy, Mystery & thriller, Crime, Drama","Hindi","Ashok Vashodia, Sanjay Routray, Hetvi Karia, Kewal Garg","Matchbox Pictures Inc., Viacom 18 Motion Pictures",,"Dec 16 2018",,,"2h 19m","Dolby Atmos Dolby Digital","A series of mysterious events changes the life of a blind pianist who must report a crime that he should technically know nothing about.","Andhadhun","100","https://www.rottentomatoes.com/m/andhadhun",,"Sriram Raghavan, Pooja Ladha Surti, Yogesh Chandekar, Arijit Biswas, Hemanth Rao"
,"88",,"A-Trak, Nadia Angelini, Steve Aoki","Kevin Kerslake",,"Documentary","English","John Beug, Kevin Kerslake, Dan Franklin, Robert Bruce","Manifest Film Co., Abramorama",,"Nov 30 2016",,,"1h 37m",,"The life and work of the mash-up pioneer and his influence on electronic music.","As I AM: The Life and Times of DJ AM","100","https://www.rottentomatoes.com/m/as_i_am_the_life_and_times_of_dj_am",,"Kevin Kerslake"
,"82",,"Bruce Irons, Lyndie Irons, Kelly Slater","Steve Jones, Todd Jones",,"Documentary","English","Enich Harris, Todd Jones","Teton Gravity Research",,"Sep 11 2018",,,"1h 55m",,"Three-time world champion surfer Andy Irons struggles with bipolar disorder and opioid addiction.","Andy Irons: Kissed by God","100","https://www.rottentomatoes.com/m/andy_irons_kissed_by_god",,
"Scope (2.35:1)","",,"James Longley, Danny Glover, Jeff Sanderson","James Longley","Grasshopper Film","Documentary","Pashto","James Longley","Piraya Film A/S, Daylight Factory, Louverture Films, Final Cut for Real",,"May 21 2020","Jul 24 2019, limited",,"1h 57m","Dolby Atmos","Filmmaker James Longley's chronicle of a group of Afghan students and teachers who are still weathering political turbulence.","Angels Are Made of Light","100","https://www.rottentomatoes.com/m/angels_are_made_of_light",,
,"100",,"Katherine Waddell, Ilia Volok, Michael David Wilson","Em Johnson",,"Drama","English","Katherine Waddell, Ruvi Leider, Monica O'Hara","First Bloom Films, Slated",,"Apr 7 2023",,,"1h 28m",,"A young circus performer, Poppy Valentine, is stuck under the harsh demands of her father and their community's expectations. But while on a quick night out to let loose and have some fun with her friends, she finds herself captivated by small-town America, which then forces her to question everything.","Balloon Animal","100","https://www.rottentomatoes.com/m/balloon_animal",,"Em Johnson"
,"82",,"Stephanie Rawlings-Blake, Elijah Cummings, Sherrilyn Ifill","Sonja Sohn",,"Documentary","English","Nate Mook","HBO Documentary Films",,"Oct 19 2017",,,"1h 32m",,"Police and activists struggle to hold Baltimore together after Freddie Gray dies in police custody.","Baltimore Rising","100","https://www.rottentomatoes.com/m/baltimore_rising",,
,"75",,"Jaime Rojo, Beth Stebner, Keegan Hamilton","Chris Moukarbel",,"Documentary","English","Chris Moukarbel, Jack Turner","Home Box Office (HBO), Mongrel Media",,"May 22 2017",,,"1h 19m",,"For one month, the artist Banksy reveals his works on the streets of New York.","Banksy Does New York","100","https://www.rottentomatoes.com/m/banksy_does_new_york",,
,"",,"Fernando Araujo, Luis Mario Vitette Sellanes, Rubén de la Torre","Matías Gueilburt",,"Documentary, Crime","Spanish","Sebastián Gamba, Julian Rousso","AZ Films, MarVista Entertainment, Anima Films",,"Aug 10 2022",,,"1h 49m",,"Through interviews, the perpetrators of Argentina's most notorious bank heist detail how -- and why -- they carried out the radical 2006 operation.","Bank Robbers: The Last Great Heist","100","https://www.rottentomatoes.com/m/bank_robbers_the_last_great_heist",,
,"67",,"Sayani Gupta, Tenzing Dalha, Rohan Joshi","Nicholas Kharkongor",,"Comedy, Drama","Hindi",,,,"Jun 18 2020",,,"1h 40m",,"Migrants in Delhi attempt to organize a wedding party, sparking conflict and comedy with their neighbors.","Axone","100","https://www.rottentomatoes.com/m/axone",,
,"68",,"Hisham Fageeh, Fatima AlBanawi, Sami Hifny","Mahmoud Sabbagh",,"Comedy","Arabic","Mahmoud Sabbagh",,,"Oct 12 2017",,,"1h 28m",,"A middle-class man and a woman from a wealthy family fall in love.","Barakah Meets Barakah","100","https://www.rottentomatoes.com/m/barakah_meets_barakah_2016",,"Mahmoud Sabbagh"
,"",,"Ariana Ron Pedrique, Vilma Vega, Henry Foster Brown","Floyd Russ",,"Drama","Spanish","Andy Coverdale, Kara Durrett, Floyd Russ, Corey C. Waters",,,"Nov 26 2021","Nov 26 2021, limited",,"1h 24m",,"Ayar, a first-generation American Latina, returns home to reunite with her daughter. Her mother, Renata, refuses to let her see her due to COVID-19, and Ayar is confronted by the many roles she's been forced to play.","Ayar","100","https://www.rottentomatoes.com/m/ayar",,"Floyd Russ, Ariana Ron Pedrique, Vilma Vega"
