"aspect ratio","audience score","box office (gross usa)","cast","director","distributor","genre","original language","producer","production co","rating","release date (streaming)","release date (theaters)","rerelease date (theaters)","runtime","sound mix","synopsis","title","tomatometer","url","view the collection","writer"
,"87",,"Joel Fry, Phoebe Dynevor, Jo Hartley","Chris Foggin","Samuel Goldwyn Films","Comedy, Biography, Drama","English (United Kingdom)","Karl Hall, Ridoyanul Hoq, Piers Tempest, Matt Williams","Doco Digital, Rojovid Films, Netflix, Ingenious Media, Automatik VFX, Tempo Productions Limited, Future Artists Entertainment","PG-13 (Some Strong Language)","Aug 25 2023","Aug 25 2023, limited",,"1h 47m","Dolby Digital","Based on the true-life experiences of Dave Fishwick; 'Bank of Dave' tells the story of how a working class Burnley man and self-made millionaire fought to set up a community bank. Dave Fishwick (Rory Kinnear) sells vans in Burnley, Lancashire. Once the world's most productive and profitable mill town, Burnley is now one of the most deprived and neglected towns in the UK. Dave, however, through a combination of hustle and hard work, has done well for himself -- so well that in the wake of the last financial crisis he started lending money at reduced rates to his customers and local businesses. When some of those businesses start making money they ask Dave to reinvest it for them. This gives Dave an idea. Why not set up a tiny local bank that uses local money to fund local enterprise?  He will call it: The Bank of Dave. The elite, London based financial authorities however, haven't granted a new bank license for over 150 years and they're not keen to grant one to a van salesmen from Burnley. Dave must enlist the help of London lawyer, Hugh (Joel Fry), junior doctor Alexandra (Phoebe Dynevor) and some local rock legends (Def Leppard) to help fight the good cause.","Bank of Dave","86","https://www.rottentomatoes.com/m/bank_of_dave",,"Piers Ashworth"
,"67","$144.8M","Leonardo DiCaprio, Tobey Maguire, Carey Mulligan","Baz Luhrmann","Warner Bros. Pictures","Drama","English","Baz Luhrmann, Catherine Martin, Douglas Wick, Lucy Fisher, Catherine Knapman","Bazmark Films, Red Wagon Entertainment","PG-13 (Partying|Brief Language|Sexual Content|Smoking|Some Violent Images)","Dec 14 2015","May 10 2013, wide",,"2h 22m","SDDS Dolby Digital, Datasat","Midwest native Nick Carraway (Tobey Maguire) arrives in 1922 New York in search of the American dream. Nick, a would-be writer, moves in next-door to millionaire Jay Gatsby (Leonardo DiCaprio) and across the bay from his cousin Daisy (Carey Mulligan) and her philandering husband, Tom (Joel Edgerton). Thus, Nick becomes drawn into the captivating world of the wealthy and -- as he bears witness to their illusions and deceits -- pens a tale of impossible love, dreams, and tragedy.","The Great Gatsby","48","https://www.rottentomatoes.com/m/the_great_gatsby_2013",,"Baz Luhrmann, Craig Pearce"
,"91","$5.2M","Sam Neill, Julian Dennison, Rima Te Wiata","Taika Waititi","The Orchard","Comedy, Adventure","English (Australia)","Carthew Neal, Leanne Saunders, Taika Waititi, Matt Noonan","Defender Films, Piki Films","PG-13 (Thematic Elements|Some Language|Violent Content)","Sep 20 2016","Jun 24 2016, limited",,"1h 41m",,"A boy (Julian Dennison) and his foster father (Sam Neill) become the subjects of a manhunt after they get stranded in the New Zealand wilderness.","Hunt for the Wilderpeople","97","https://www.rottentomatoes.com/m/hunt_for_the_wilderpeople",,"Taika Waititi"
"Digital 2.39:1","95","$574.9M","Chris Pratt, Anya Taylor-Joy, Charlie Day","Aaron Horvath, Michael Jelenic","Universal Pictures","Kids & family, Comedy, Adventure, Animation","English","Christopher Meledandri, Shigeru Miyamoto","Universal Pictures, Nintendo, Illumination Entertainment","PG (Action and Mild Violence)","May 16 2023","Apr 5 2023, wide",,"1h 32m","Dolby Digital DTS, Dolby Atmos","Mario and Luigi go on a whirlwind adventure through Mushroom Kingdom, uniting with a cast of familiar characters to defeat Bowser.","The Super Mario Bros. Movie","59","https://www.rottentomatoes.com/m/the_super_mario_bros_movie",,"Matthew Fogel"
,"56","$75.4K","Jason Statham, Ray Liotta, Vincent Pastore","Guy Ritchie","Samuel Goldwyn Company","Crime, Drama","English","Luc Besson, Virginie Silla","EuropaCorp","R (Violence|Some Nudity|Language)","Apr 1 2009","Dec 7 2007, limited",,"1h 55m",,"Jake Green is a hotshot gambler, long on audacity and short on common sense. Jake served seven years in jail for a crime he didn't commit after taking the rap for mean crime boss Dorothy Macha. Upon his release he takes on Macha in a private casino game, causes humiliation, and wins. While Macha puts out an order on Jake's life, Jake meets brothers Avi and Zach who protect him and plot to take Macha down.","Revolver","15","https://www.rottentomatoes.com/m/revolver2005",,"Guy Ritchie"
"Flat (1.85:1)","79","$48.9M","Saoirse Ronan, Laurie Metcalf, Timothée Chalamet","Greta Gerwig","A24","Comedy, Drama","English","Scott Rudin, Eli Bush, Evelyn O'Neill","Scott Rudin Productions, A24","R (Language|Brief Graphic Nudity|Sexual Content|Teen Partying)","Feb 13 2018","Nov 22 2017, wide",,"1h 34m","Dolby Digital","A teenager (Saoirse Ronan) navigates a loving but turbulent relationship with her strong-willed mother (Laurie Metcalf) over the course of an eventful and poignant senior year of high school.","Lady Bird","99","https://www.rottentomatoes.com/m/lady_bird",,"Greta Gerwig"
,"88",,"Lionel Richie, Bruce Springsteen, Smokey Robinson","Bao Nguyen","Netflix","Documentary, Music, History","English","Bruce Eskowitz, George Hencken, Larry Klein, Julia Nottingham, Harriet Sternberg, Lionel Richie","Paramount Pictures, Makemake","PG-13 (Some Strong Language)","Jan 29 2024","Jan 31 2024, limited",,"1h 36m",,"On January 25, 1985, dozens of the biggest names in music convened at a studio in Los Angeles, checked their egos at the door and recorded a song to benefit African famine relief that would alter global pop culture history. The Greatest Night in Pop chronicles the massive undertaking to assemble the world's most impressive supergroup in a world before cell phones and email. That group of artists -- led by the song's co-writers and two of the most significant musicians of the 20th century -- Michael Jackson and Lionel Richie -- came from different worlds but united to record ""We Are the World."" Featuring never-before-seen footage, the film details the early planning stages, including the writing sessions with Richie and Jackson, and goes inside the famed Henson Studios where ""We Are the World"" was recorded. Many of the artists who were there that legendary evening -- Richie, Bruce Springsteen, Smokey Robinson, Cyndi Lauper, Kenny Loggins, Dionne Warwick, and Huey Lewis -- reminisce alongside musicians, engineers, and production crew about one of the most storied nights in music history.","The Greatest Night in Pop","98","https://www.rottentomatoes.com/m/the_greatest_night_in_pop",,
,"",,"Mike Epps, Royale Watkins","Royale Watkins","Netflix","Comedy, Stand-up","English",,,,"Feb 20 2024",,,"1h 1m",,"Comedian Mike Epps keeps it real as he riffs on poor personal hygiene, failing at infidelity and waging war on work husbands in his latest stand-up special.","Mike Epps: Ready to Sell Out","","https://www.rottentomatoes.com/m/mike_epps_ready_to_sell_out",,
,"",,"Kelly Rowland, Trevante Rhodes, Sean Sagar","Tyler Perry","Netflix","Crime, Drama, Mystery & thriller","English","Will Areu, Angi Bones, Tyler Perry, Kelly Rowland","Tyler Perry Studios","R (Some Violence|Drug Use|Language|Graphic Nudity|Strong Sexual Content)","Feb 23 2024",,,"2h 0m",,"When criminal defense attorney Mea Harper (Kelly Rowland) takes on the murder case of artist Zyair Malloy (Trevante Rhodes), the truth isn't as obvious as it seems. While she tries to determine the innocence or guilt of her cagy-yet-seductive client, it is uncovered that everyone is guilty of something. Tyler Perry's Mea Culpa explores what happens when burning desire takes hold and things get hot... and dangerous.","Mea Culpa","","https://www.rottentomatoes.com/m/mea_culpa_2024",,"Tyler Perry"
,"79","$274.1M","Sandra Bullock, George Clooney, Ed Harris","Alfonso Cuarón","Warner Bros. Pictures","Drama, Sci-fi, Mystery & thriller","English","Alfonso Cuarón, David Heyman","Heyday Films, Esperanto Filmoj","PG-13 (Intense Perilous Sequences|Brief Strong Language|Some Disturbing Images)","Aug 26 2014","Oct 4 2013, wide","Jan 17 2014","1h 31m","SDDS Datasat, Dolby Atmos","Dr. Ryan Stone (Sandra Bullock) is a medical engineer on her first shuttle mission. Her commander is veteran astronaut Matt Kowalsky (George Clooney), helming his last flight before retirement. Then, during a routine space walk by the pair, disaster strikes: The shuttle is destroyed, leaving Ryan and Matt stranded in deep space with no link to Earth and no hope of rescue. As fear turns to panic, they realize that the only way home may be to venture further into space.","Gravity","96","https://www.rottentomatoes.com/m/gravity_2013",,"Alfonso Cuarón, Jonás Cuarón"
,"66",,"Jaime Vadell, Gloria Münchmeyer, Alfredo Castro","Pablo Larraín","Netflix","Comedy, Horror","Spanish","Juan de Dios Larraín, Rocío Jadue","Fabula","R (Sexual Content|Rape|Language|Some Graphic Nudity|Strong Violence and Gore)","Sep 15 2023","Sep 8 2023, limited",,"1h 50m",,"El Conde is a dark comedy/horror that imagines a parallel universe inspired by the recent history of Chile. The film portrays Augusto Pinochet, a symbol of world fascism, as a vampire who lives hidden in a ruined mansion in the cold southern tip of the continent. Feeding his appetite for evil to sustain his existence. After two hundred and fifty years of life, Pinochet has decided to stop drinking blood and abandon the privilege of eternal life. He can no longer bear that the world remembers him as a thief. Despite the disappointing and opportunistic nature of his family, he finds new inspiration to continue living a life of vital and counterrevolutionary passion through an unexpected relationship.","El Conde","82","https://www.rottentomatoes.com/m/el_conde",,"Guillermo Calderón, Pablo Larraín"
"Scope (2.35:1)","91",,"Chloë Grace Moretz, Riz Ahmed, Eugene Lee Yang","Nick Bruno, Troy Quane","Netflix","Action, Adventure, Animation","English","Roy Lee, Karen Ryan, Julie Zackary","Vertigo Entertainment, Sony Pictures Animation, Annapurna Pictures, Double Negative (DNEG), DAMN! Show Productions, Toei Animation","PG (Thematic Elements|Some Language|Rude Humor|Violence and Action)","Jun 30 2023","Jun 23 2023, limited",,"1h 41m","Dolby Atmos Dolby Digital","When Ballister Boldheart (Riz Ahmed), a knight in a futuristic medieval world, is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona (Chloë Grace Moretz), a mischievous teen with a taste for mayhem -- who also happens to be a shapeshifting creature Ballister has been trained to destroy. But with the entire kingdom out to get him, Nimona's the best (or technically the only) sidekick Ballister can hope for. And as the lines between heroes, villains, and monsters start to blur, the two of them set out to wreak serious havoc -- for Ballister to clear his name once and for all, and for Nimona to... just wreak serious havoc.","Nimona","93","https://www.rottentomatoes.com/m/nimona",,"Robert L. Baird, Lloyd Taylor"
"Scope (2.35:1)","76",,"Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons","Jane Campion","Netflix","Western, Drama, Romance","English","Jane Campion, Iain Canning, Roger Frappier, Tanya Seghatchian, Emile Sherman","New Zealand Film Commission, BBC Films, See-Saw Films, Max Films International, Brightstar Films, Cross City Films","R (Full Nudity|Brief Sexual Content)","Dec 1 2021","Nov 17 2021, limited",,"2h 8m","Dolby Digital","Severe, pale-eyed, handsome, Phil Burbank is brutally beguiling. All of Phil's romance, power and fragility is trapped in the past and in the land: He can castrate a bull calf with two swift slashes of his knife; he swims naked in the river, smearing his body with mud. He is a cowboy as raw as his hides. The year is 1925. The Burbank brothers are wealthy ranchers in Montana. At the Red Mill restaurant on their way to market, the brothers meet Rose, the widowed proprietress, and her impressionable son Peter. Phil behaves so cruelly he drives them both to tears, reveling in their hurt and rousing his fellow cowhands to laughter -- all except his brother George, who comforts Rose then returns to marry her. As Phil swings between fury and cunning, his taunting of Rose takes an eerie form -- he hovers at the edges of her vision, whistling a tune she can no longer play. His mockery of her son is more overt, amplified by the cheering of Phil's cowhand disciples. Then Phil appears to take the boy under his wing. Is this latest gesture a softening that leaves Phil exposed, or a plot twisting further into menace?","The Power of the Dog","94","https://www.rottentomatoes.com/m/the_power_of_the_dog",,"Jane Campion"
